section,question_type,question_id,question_subject,question_original,question_lite,a0,a1,a2,a3,a4,a5,more_info_link
Data Acquisition and Ingest,RA,2.1.1.1,Methods for acquisition and selection of data,The repository has a methodical approach to identify and communicate with potential data depositors.,"Are there agreements and documentation to support acquisition and selection of data, and aid communication with potential data depositors?",No methodical approach,"Some ad hoc approaches towards relevant communities;no procedures for approaching and communicating with potential data depositors; no agreements with government, organisations or other institutions.","Established regular contacts with some communities and users, but lacks formalised agreements to support the acquisition and selection methods.","Formal agreements in place, either with government, funders or research institutions (e.g. funded researchers are obliged to deposit data at the repository).","Agreements and methods are regularly reviewed and updated, and are monitored for compliance with policies, processes and procedures.",Contact and communication methods/mechanisms are regularly reviewed based on surveys or other outreach mechanisms towards Designated Community and other relevant stakeholders.,
Data Acquisition and Ingest,RA,2.1.1.2,Documentation/ Metadata requirements,"The repository clearly specifies the information (documentation, metadata) that needs to be associated with the data that is to be deposited. This is necessary so that the deposited information can be interpreted and re-used. ",Are supplementary documentation and metadata requirements clearly defined for the data to aid future understandability and reuse?,Not specified; no awareness.,"There is some awareness of the documentation and metadata that is needed for deposit, but it is not formalised; information communicated to users/depositors on an ad hoc basis.",Documentation and metadata requirements implicitly defined by acquisition and deposit activities and routines; no formal or explicit requirements in policy or other written documents.,A written formal specification of required information is explicitly defined (e.g. in a collection policy); requirements are compliant with metadata standards that are used and can be understood by Designated Community (e.g. DDI); metadata requirements are accessible and communicated to users/depositors.,Documentation and metadata requirements are aligned with policies and other processes and procedure documents. There are regular reviews and assessments (of success) of the information requirements.,"Regular reviews and updates of requirements based on technology watch, monitoring of, and communication with Designated Community and other relevant stakeholders.",
Data Acquisition and Ingest,RA,2.1.1.3,Collection policy,"The repository uses a collection policy to address and guide the data acquisition, selection and ingestion of data and metadata.",Is there a collection policy to guide selection of data and metadata?,"Not applicable, or there is no awareness of a collection policy.",There is no collection policy; acquisition and ingestion is performed on an ad hoc basis.,"A collection policy is not formally defined, but there are some repeatable procedures in place; acquisition and ingestion follow a regular pattern - they have developed to the stage where similar procedures are followed by different people undertaking the same task.",A collection policy is defined and it is connected to specific processes and procedures.,The collection policy is monitored and measured for compliance with processes and procedures; actions are taken where processes appear not to be working effectively or not to be in accordance with the policy.,"At regular intervals processes and procedures are measured and assessed; processes, functions and mechanisms are under constant improvement and continuously integrated into the collection policy.",
Data Acquisition and Ingest,RA,2.1.2.1,Systems for submission,"The repository has in place a system (interfaces, devices) that can properly deal with the submission of information from a depositor.",Is there an interface or system in place to deal with submission of data?,No devices or interfaces for data depositing are in place.,"Information is being deposited on an ad hoc basis, with case-by-case agreements; no written procedures in place; deposits are accommodated to the individual depositor; information is deposited without considering formats, data and metadata quality, virus checks, integrity/authenticity, etc.",Some devices/interfaces for deposit in place; to a large extent dependent on personal contact between repository and depositor (guidance); minor automation.,A complete set of devices/interfaces for information deposits are in place; written processes and procedures are in place; deposit procedures to a large extent automated.,Deposits systems are monitored and measured; adjustments to procedures made accordingly.,"Deposits are monitored and measured; regular contact with user communities; deposit devices, interfaces and procedures are adjusted and optimised based on technology watch, monitoring of, and communication with Designated Community and other relevant stakeholders.",
Data Acquisition and Ingest,RA,2.1.2.2,Authentication and authorisation,"The repository uses AAI (Authentication and Authorisation Infrastructure) or other direct or federated user authentication approaches to appropriately verify the identity of the depositor [maps to: Annex 2, section 2]Â",,No authentication approach in place.,"There is some awareness of the need to implement authentication approaches; deposit identity control is performed on an ad hoc, case-by-case basis.",An authentication infrastructure is emerging by repeated use of authentication approaches; lacks standardisation and formalisation.,"The organisation uses digital identities, identity management, authentication and authorisation to control deposits and deposit identities; AAI is formalised, systematised and documented.","All AAI mechanisms and functions are measured, assessed and regularly reviewed and updated.","All AAI mechanisms and functions are monitored and measured; there are systemised reviews and updates of AAI systems based on technology watch and formal, regular communication with Designated Community and other relevant stakeholders.",
Data Acquisition and Ingest,RA,2.1.2.3,Requests of provenance information,The repository has mechanisms and procedures in place to appropriately verify the source/ownership of the information that is being deposited. The provenance information will provide proper citations to data when it is reused.,,No mechanisms; no awareness of provenance information,Awareness of the need to collect provenance information; requests and collection is done in an unsystematic and ad hoc manner; no agreements or other formal documentation is in place.,"Provenance information requested repeatedly and consistently, but no formalised procedures or mechanisms in place.","For all deposits there are requirements for provenance information; mechanisms, documents, and formalised agreements are in place; processes and procedures are documented.",Mechanisms for requesting and providing provenance information are regularly reviewed and updated.,"Mechanisms for requesting and providing provenance information are monitored and measured; there are systemised reviews and updates of provenance systems based on technology watch and formal, regular communication with Designated Community and other relevant stakeholders.",
Data Acquisition and Ingest,RA,2.1.2.4,Citations,The repository offers and provides functions and mechanisms for proper data citations.Â,,No citation practices are evident.,Citations are offered when enquired by the depositor; ad hoc and case-by-case approach; no practices or strategies are written down.,Citation practices are being repeated and offered regularly; lacks formalisation and systemisation.,Citations are required and offered to all depositors; formalised through templates or other written documents; processes and procedures are documented.,Citation mechanisms are regularly reviewed and updated.,"Mechanisms for requesting and providing citation are monitored and measured; there are systemised reviews and updates of citation mechanisms based on technology watch and formal, regular communication with Designated Community and other relevant stakeholders.",
Data Acquisition and Ingest,RA,2.1.2.5,"Conditions placed on content, deposit licenses",The repository has in place mechanisms and functions that allow the depositor to place access conditions on the information that is being deposited.Â,,No awareness; no mechanisms/procedures in place.,"Some awareness of the issue; conditions of use are set up and agreed upon when required by the depositor, but most deposits are done without any conditions on use.","Most depositors are offered an opportunity to define conditions of use on the information they deposit, but conditions are not formally defined; no template or set of predefined categories.",All depositors are offered the opportunity to set conditions of use on the information that is being deposited; a set of access conditions are formally defined in categories or a template.,Regular review and updates of set of conditions; aligned with high level policies.,Regular review and updates of set of conditions; formalised feedback mechanisms and cooperation with user groups and other relevant stakeholders (e.g. how to deal with funder policies that have open access requirements).,
Data Acquisition and Ingest,RA,2.1.2.6,Legal transfer of custody; agreements on rights/responsibilities,The repository has in place agreements that confirms the legal transfer (or other consensual agreements) of the information that is being deposited; the agreement includes clear definition of roles and responsibilities of repository and depositor (i.e. the repository legally takes control of the deposited material so that they can make the necessary changes to the data to prepare it for long-term storage and to distribute it to their consumers). The contractual and legal regulations makes sure that the deposited material does not infringe any intellectual property rights (IPR) of any other person(s) or institution(s) (e.g. it is not derived from a licensed or commercial product).,,No agreements on legal transfer of custody.,"Awareness of legal custody, but no formal or written agreements in place; some agreements are made ad hoc, on an individual basis; some/most deposits are made without any kind of agreements on legal transfer of custody.","Most of deposits are made with agreements in place, but adjustments are made on individual basis when needed. Agreements are not formalised into â€˜templatesâ€™ that are being used regularly and systematically.","Formal, written agreements and contracts in place; responsibilities and legal transfer of custody clearly defined. Contractual templates are being used consistently; legal and contractual framework is regularly reviewed and updated; all legal and contractual regulations are aligned to higher level policies; roles and responsibilities are identified and maintained.",Monitoring of the usage of agreements and contracts; actions are taken where contracts/agreements appear not to be working effectively or are not in accordance with higher level policies; reviewed and updated regularly.,The usage and success of transfers and agreements are continuously assessed; monitoring of wider legal framework (e.g. national and EU regulations); regular and formalised contact with relevant stakeholders.,
Data Acquisition and Ingest,RA,2.1.2.7,Receipt or request to resubmit,"The repository have in place mechanisms/procedures that sends a receipt / confirmation of deposit to the depositor; if quality assurance (see below) shows errors or insufficiency in the deposited material, the repository requests a resubmit.Â",,No awareness; no mechanisms/procedures in place.,"Some awareness; some depositors receive receipts, when requested; no procedures contacting depositor for re-submitting when errors are identified.","Most depositors receive receipts/confirmation of deposit; errors and insufficiencies are attempted to be corrected by contacting the depositor, but there are no written procedures for depositor contact and/or re-submitting.",Written procedures and formalised systems for receipts and requests to re-submit are in place. The system for confirmation/receipts may be partly automated.,Receipts and confirmation systems are regularly reviewed and updated. The receipt system may be partly or fully automated.,"Receipts and confirmation systems are measured, monitored and updated regularly based on systematised user feedback mechanisms. The receipt and control system may be partly or fully automated.",
